# dt	sn
# time = 0.03333650095376481
0.026688	0.002184
0.026718	0.002185
0.026749	0.002168
0.026779	0.002161
0.026810	0.002164
0.026840	0.002182
0.026871	0.002170
0.026901	0.002163
0.026932	0.002174
0.026962	0.002182
0.026993	0.002167
0.027023	0.002165
0.027054	0.002168
0.027084	0.002181
0.027115	0.002168
0.027145	0.002157
0.027176	0.002179
0.027206	0.002179
0.027237	0.002170
0.027267	0.002165
0.027298	0.002169
0.027328	0.002174
0.027359	0.002171
0.027389	0.002157
0.027420	0.002173
0.027450	0.002174
0.027481	0.002166
0.027511	0.002161
0.027542	0.002172
0.027572	0.002188
0.027603	0.002166
0.027633	0.002159
0.027664	0.002168
0.027694	0.002172
0.027725	0.002165
0.027755	0.002155
0.027786	0.002175
0.027816	0.002180
0.027847	0.002171
0.027877	0.002154
0.027908	0.002174
0.027938	0.002175
0.027969	0.002167
0.027999	0.002157
0.028030	0.002171
0.028060	0.002176
0.028091	0.002168
0.028121	0.002162
0.028152	0.002173
0.028182	0.002177
0.028213	0.002161
0.028243	0.002153
0.028274	0.002164
0.028304	0.002178
0.028335	0.002166
0.028365	0.002161
0.028396	0.002165
0.028426	0.002174
0.028457	0.002172
0.028487	0.002161
0.028518	0.002173
0.028548	0.002174
0.028579	0.002165
0.028609	0.002157
0.028640	0.002167
0.028670	0.002171
0.028701	0.002162
0.028731	0.002151
0.028762	0.002162
0.028792	0.002171
0.028823	0.002164
0.028853	0.002157
0.028884	0.002161
0.028914	0.002176
0.028945	0.002162
0.028975	0.002150
0.029006	0.002167
0.029036	0.002174
0.029067	0.002167
0.029097	0.002159
0.029128	0.002164
0.029158	0.002180
0.029189	0.002163
0.029219	0.002147
0.029250	0.002165
0.029280	0.002173
0.029311	0.002160
0.029341	0.002160
0.029372	0.002163
0.029402	0.002172
0.029433	0.002154
0.029463	0.002149
0.029494	0.002169
0.029524	0.002173
0.029555	0.002163
0.029585	0.002147
0.029616	0.002166
0.029646	0.002174
0.029677	0.002154
0.029707	0.002155
0.029738	0.002166
0.029768	0.002174
0.029799	0.002165
0.029829	0.002155
0.029860	0.002165
0.029890	0.002174
0.029921	0.002173
0.029951	0.002150
0.029982	0.002167
0.030012	0.002174
0.030043	0.002171
0.030073	0.002158
0.030104	0.002156
0.030134	0.002180
0.030165	0.002163
0.030195	0.002150
0.030226	0.002165
0.030256	0.002171
0.030287	0.002159
0.030317	0.002153
0.030348	0.002150
0.030378	0.002167
0.030409	0.002154
0.030439	0.002148
0.030470	0.002161
0.030500	0.002156
0.030531	0.002164
0.030561	0.002153
0.030592	0.002157
0.030622	0.002163
0.030653	0.002150
0.030683	0.002146
0.030714	0.002162
0.030744	0.002157
0.030775	0.002160
0.030805	0.002141
0.030836	0.002150
0.030866	0.002164
0.030897	0.002148
0.030927	0.002145
0.030958	0.002157
0.030988	0.002165
0.031019	0.002156
0.031049	0.002145
0.031080	0.002156
0.031110	0.002164
0.031141	0.002149
0.031171	0.002143
0.031202	0.002154
0.031232	0.002162
0.031263	0.002144
0.031293	0.002142
0.031324	0.002148
0.031354	0.002161
0.031385	0.002146
0.031415	0.002142
0.031446	0.002158
0.031476	0.002161
0.031507	0.002150
0.031537	0.002139
0.031568	0.002148
0.031598	0.002164
0.031629	0.002159
0.031659	0.002148
0.031690	0.002153
0.031720	0.002157
0.031751	0.002150
0.031781	0.002139
0.031812	0.002169
0.031842	0.002159
0.031873	0.002157
0.031903	0.002149
0.031934	0.002160
0.031964	0.002161
0.031995	0.002160
0.032025	0.002148
0.032056	0.002158
0.032086	0.002168
0.032117	0.002156
0.032147	0.002149
0.032178	0.002155
0.032208	0.002169
0.032239	0.002142
0.032269	0.002141
0.032300	0.002156
0.032330	0.002164
0.032361	0.002157
0.032391	0.002143
0.032422	0.002151
0.032452	0.002163
0.032483	0.002154
0.032513	0.002148
0.032544	0.002150
0.032574	0.002164
0.032605	0.002152
0.032635	0.002140
0.032666	0.002145
0.032696	0.002160
0.032727	0.002153
0.032757	0.002138
0.032788	0.002153
0.032818	0.002166
0.032849	0.002149
0.032879	0.002148
0.032910	0.002152
0.032940	0.002156
0.032971	0.002149
0.033001	0.002139
0.033032	0.002148
0.033062	0.002157
0.033093	0.002152
0.033123	0.002146
0.033154	0.002153
0.033184	0.002164
0.033215	0.002151
0.033245	0.002135
0.033276	0.002148
0.033306	0.002156
0.033337	0.002155
0.033367	0.002137
0.033398	0.002150
0.033428	0.002157
0.033459	0.002146
0.033489	0.002143
0.033520	0.002144
0.033550	0.002154
0.033581	0.002147
0.033611	0.002147
0.033642	0.002153
0.033672	0.002158
0.033703	0.002146
0.033733	0.002138
0.033764	0.002163
0.033794	0.002165
0.033825	0.002147
0.033855	0.002140
0.033886	0.002145
0.033916	0.002156
0.033947	0.002150
0.033977	0.002148
0.034008	0.002158
0.034038	0.002148
0.034069	0.002150
0.034099	0.002143
0.034130	0.002148
0.034160	0.002164
0.034191	0.002157
0.034221	0.002148
0.034252	0.002155
0.034282	0.002160
0.034313	0.002149
0.034343	0.002148
0.034374	0.002154
0.034404	0.002166
0.034435	0.002147
0.034465	0.002138
0.034496	0.002145
0.034526	0.002161
0.034557	0.002146
0.034587	0.002141
0.034618	0.002151
0.034648	0.002164
0.034679	0.002145
0.034709	0.002145
0.034740	0.002153
0.034770	0.002163
0.034801	0.002149
0.034831	0.002141
0.034862	0.002148
0.034892	0.002150
0.034923	0.002151
0.034953	0.002145
0.034984	0.002154
0.035014	0.002167
0.035045	0.002148
0.035075	0.002145
0.035106	0.002151
0.035136	0.002163
0.035167	0.002147
0.035197	0.002140
0.035228	0.002149
0.035258	0.002154
0.035289	0.002141
0.035319	0.002137
0.035350	0.002145
0.035380	0.002154
0.035411	0.002148
0.035441	0.002141
0.035472	0.002143
0.035502	0.002161
0.035533	0.002144
0.035563	0.002140
0.035594	0.002147
0.035624	0.002156
0.035655	0.002147
0.035685	0.002131
0.035716	0.002145
0.035746	0.002156
0.035777	0.002149
0.035807	0.002141
0.035838	0.002148
0.035868	0.002155
0.035899	0.002141
0.035929	0.002134
0.035960	0.002146
0.035990	0.002159
0.036021	0.002218
0.036051	0.002304
0.036082	0.002510
0.036112	0.003272
0.036143	0.003172
0.036173	0.004061
0.036204	0.004815
0.036234	0.004867
0.036265	0.006748
0.036295	0.009142
0.036326	0.010160
0.036356	0.012641
0.036387	0.014234
0.036417	0.016126
0.036448	0.018900
0.036478	0.023013
0.036509	0.027515
0.036539	0.030852
0.036570	0.033872
0.036600	0.038644
0.036631	0.043166
0.036661	0.046936
0.036692	0.050304
0.036722	0.055606
0.036753	0.058856
0.036783	0.064257
0.036814	0.065264
0.036844	0.068409
0.036875	0.067931
0.036905	0.067956
0.036936	0.071390
0.036966	0.072096
0.036997	0.068566
0.037027	0.070159
0.037058	0.066688
0.037088	0.066117
0.037119	0.058916
0.037149	0.059039
0.037180	0.052625
0.037210	0.049686
