# dt	sn
# time = 0.0333365009537651
0.026688	0.002129
0.026718	0.002139
0.026749	0.002133
0.026779	0.002135
0.026810	0.002137
0.026840	0.002127
0.026871	0.002135
0.026901	0.002138
0.026932	0.002131
0.026962	0.002130
0.026993	0.002140
0.027023	0.002135
0.027054	0.002129
0.027084	0.002138
0.027115	0.002133
0.027145	0.002122
0.027176	0.002131
0.027206	0.002135
0.027237	0.002138
0.027267	0.002140
0.027298	0.002131
0.027328	0.002134
0.027359	0.002132
0.027389	0.002126
0.027420	0.002137
0.027450	0.002134
0.027481	0.002131
0.027511	0.002130
0.027542	0.002131
0.027572	0.002130
0.027603	0.002138
0.027633	0.002142
0.027664	0.002127
0.027694	0.002134
0.027725	0.002134
0.027755	0.002132
0.027786	0.002134
0.027816	0.002127
0.027847	0.002131
0.027877	0.002129
0.027908	0.002127
0.027938	0.002136
0.027969	0.002129
0.027999	0.002137
0.028030	0.002134
0.028060	0.002129
0.028091	0.002142
0.028121	0.002138
0.028152	0.002133
0.028182	0.002126
0.028213	0.002136
0.028243	0.002128
0.028274	0.002140
0.028304	0.002134
0.028335	0.002137
0.028365	0.002131
0.028396	0.002134
0.028426	0.002136
0.028457	0.002138
0.028487	0.002134
0.028518	0.002125
0.028548	0.002129
0.028579	0.002134
0.028609	0.002135
0.028640	0.002128
0.028670	0.002129
0.028701	0.002133
0.028731	0.002125
0.028762	0.002129
0.028792	0.002123
0.028823	0.002128
0.028853	0.002134
0.028884	0.002124
0.028914	0.002119
0.028945	0.002123
0.028975	0.002126
0.029006	0.002127
0.029036	0.002129
0.029067	0.002125
0.029097	0.002124
0.029128	0.002130
0.029158	0.002130
0.029189	0.002132
0.029219	0.002136
0.029250	0.002126
0.029280	0.002130
0.029311	0.002134
0.029341	0.002129
0.029372	0.002127
0.029402	0.002124
0.029433	0.002129
0.029463	0.002128
0.029494	0.002129
0.029524	0.002128
0.029555	0.002125
0.029585	0.002130
0.029616	0.002126
0.029646	0.002126
0.029677	0.002125
0.029707	0.002131
0.029738	0.002124
0.029768	0.002132
0.029799	0.002134
0.029829	0.002125
0.029860	0.002121
0.029890	0.002123
0.029921	0.002125
0.029951	0.002131
0.029982	0.002118
0.030012	0.002122
0.030043	0.002123
0.030073	0.002116
0.030104	0.002125
0.030134	0.002135
0.030165	0.002120
0.030195	0.002121
0.030226	0.002122
0.030256	0.002120
0.030287	0.002133
0.030317	0.002118
0.030348	0.002119
0.030378	0.002118
0.030409	0.002128
0.030439	0.002123
0.030470	0.002119
0.030500	0.002129
0.030531	0.002123
0.030561	0.002126
0.030592	0.002124
0.030622	0.002124
0.030653	0.002123
0.030683	0.002126
0.030714	0.002123
0.030744	0.002117
0.030775	0.002119
0.030805	0.002127
0.030836	0.002119
0.030866	0.002115
0.030897	0.002117
0.030927	0.002127
0.030958	0.002121
0.030988	0.002119
0.031019	0.002124
0.031049	0.002115
0.031080	0.002125
0.031110	0.002130
0.031141	0.002121
0.031171	0.002114
0.031202	0.002123
0.031232	0.002118
0.031263	0.002115
0.031293	0.002112
0.031324	0.002123
0.031354	0.002116
0.031385	0.002115
0.031415	0.002120
0.031446	0.002111
0.031476	0.002111
0.031507	0.002124
0.031537	0.002117
0.031568	0.002113
0.031598	0.002116
0.031629	0.002116
0.031659	0.002111
0.031690	0.002114
0.031720	0.002110
0.031751	0.002118
0.031781	0.002120
0.031812	0.002121
0.031842	0.002123
0.031873	0.002121
0.031903	0.002119
0.031934	0.002118
0.031964	0.002117
0.031995	0.002125
